id,code,name,parent_id/id,type,user_type/id,reconcile,financial_report_ids/id
l10n_lu.lu_2011_account_0,0,Plan de compte Luxembourgeois - Loi de Juin 2009 (THAMINI & ADN & ACSONE),,view,account.data_account_type_view,f,
l10n_lu.lu_2011_account_bilan,bilan,TOTAL CLASSES 1 A 5,l10n_lu.lu_2011_account_0,view,account.data_account_type_view,f,
l10n_lu.lu_2011_account_1,1,"CLASSE 1 - COMPTES DE CAPITAUX, DE PROVISIONS ET DE DETTES FINANCIERES",l10n_lu.lu_2011_account_bilan,view,l10n_lu.account_type_2011_1_capital,f,
l10n_lu.lu_2011_account_10,10,Capital ou dotation des succursales et comptes de l'exploitant,l10n_lu.lu_2011_account_1,view,l10n_lu.account_type_2011_1_capital,f,
l10n_lu.lu_2011_account_101,101,Capital souscrit (Sociétés de capitaux - Montant total),l10n_lu.lu_2011_account_10,other,l10n_lu.account_type_2011_1_capital,f,"l10n_lu.account_financial_report_68,l10n_lu.account_financial_report_abr_68"
l10n_lu.lu_2011_account_102,102,Capital souscrit non appelé (Sociétés de capitaux),l10n_lu.lu_2011_account_10,other,l10n_lu.account_type_2011_1_capital,f,"l10n_lu.account_financial_report_17,l10n_lu.account_financial_report_abr_17"
l10n_lu.lu_2011_account_103,103,Capital souscrit appelé et non versé (Sociétés de capitaux),l10n_lu.lu_2011_account_10,other,l10n_lu.account_type_2011_1_capital,f,"l10n_lu.account_financial_report_18,l10n_lu.account_financial_report_abr_18"
l10n_lu.lu_2011_account_104,104,Capital des entreprises commerçants personnes physiques et des sociétés de personnes,l10n_lu.lu_2011_account_10,view,l10n_lu.account_type_2011_1_capital,f,"l10n_lu.account_financial_report_68,l10n_lu.account_financial_report_abr_68"
l10n_lu.lu_2011_account_1041,1041,Commerçants personnes physiques,l10n_lu.lu_2011_account_104,other,l10n_lu.account_type_2011_1_capital,f,
l10n_lu.lu_2011_account_1042,1042,Sociétés de personnes,l10n_lu.lu_2011_account_104,other,l10n_lu.account_type_2011_1_capital,f,
l10n_lu.lu_2011_account_105,105,Dotation des succursales,l10n_lu.lu_2011_account_10,other,l10n_lu.account_type_2011_1_capital,f,"l10n_lu.account_financial_report_68,l10n_lu.account_financial_report_abr_68"
l10n_lu.lu_2011_account_106,106,Comptes de l'exploitant ou des coexploitants,l10n_lu.lu_2011_account_10,view,l10n_lu.account_type_2011_1_capital,f,"l10n_lu.account_financial_report_68,l10n_lu.account_financial_report_abr_68"
l10n_lu.lu_2011_account_1061,1061,Prélèvements privés de l'exploitant ou des coexploitants,l10n_lu.lu_2011_account_106,view,l10n_lu.account_type_2011_1_capital,f,
l10n_lu.lu_2011_account_10611,10611,Prélèvements en numéraire (train de vie),l10n_lu.lu_2011_account_1061,other,l10n_lu.account_type_2011_1_capital,f,
l10n_lu.lu_2011_account_10612,10612,"Prélèvements en nature de marchandises, de produits finis et services (au prix de revient)",l10n_lu.lu_2011_account_1061,other,l10n_lu.account_type_2011_1_capital,f,
l10n_lu.lu_2011_account_10613,10613,Part personnelle des frais de maladie,l10n_lu.lu_2011_account_1061,other,l10n_lu.account_type_2011_1_capital,f,
l10n_lu.lu_2011_account_10614,10614,Primes d'assurances privées,l10n_lu.lu_2011_account_1061,view,l10n_lu.account_type_2011_1_capital,f,
l10n_lu.lu_2011_account_106141,106141,Vie,l10n_lu.lu_2011_account_10614,other,l10n_lu.account_type_2011_1_capital,f,
l10n_lu.lu_2011_account_106142,106142,Accident,l10n_lu.lu_2011_account_10614,other,l10n_lu.account_type_2011_1_capital,f,
l10n_lu.lu_2011_account_106143,106143,Incendie,l10n_lu.lu_2011_account_10614,other,l10n_lu.account_type_2011_1_capital,f,
l10n_lu.lu_2011_account_106144,106144,Responsabilité civile,l10n_lu.lu_2011_account_10614,other,l10n_lu.account_type_2011_1_capital,f,
l10n_lu.lu_2011_account_106145,106145,Multirisques,l10n_lu.lu_2011_account_10614,other,l10n_lu.account_type_2011_1_capital,f,
l10n_lu.lu_2011_account_106148,106148,Autres primes d'assurances privées,l10n_lu.lu_2011_account_10614,other,l10n_lu.account_type_2011_1_capital,f,
l10n_lu.lu_2011_account_10615,10615,Cotisations,l10n_lu.lu_2011_account_1061,view,l10n_lu.account_type_2011_1_capital,f,
l10n_lu.lu_2011_account_106151,106151,Assurances sociales (assurance dépendance),l10n_lu.lu_2011_account_10615,other,l10n_lu.account_type_2011_1_capital,f,
l10n_lu.lu_2011_account_106152,106152,Allocations familiales,l10n_lu.lu_2011_account_10615,other,l10n_lu.account_type_2011_1_capital,f,
l10n_lu.lu_2011_account_106153,106153,Cotisations pour mutuelles,l10n_lu.lu_2011_account_10615,other,l10n_lu.account_type_2011_1_capital,f,
l10n_lu.lu_2011_account_106154,106154,"Caisse de décès, médico-chirurgicale, Prestaplus",l10n_lu.lu_2011_account_10615,other,l10n_lu.account_type_2011_1_capital,f,
l10n_lu.lu_2011_account_106158,106158,Autres cotisations,l10n_lu.lu_2011_account_10615,other,l10n_lu.account_type_2011_1_capital,f,
l10n_lu.lu_2011_account_10616,10616,Prélèvements en nature (quote-part privée dans les frais généraux),l10n_lu.lu_2011_account_1061,view,l10n_lu.account_type_2011_1_capital,f,
l10n_lu.lu_2011_account_106161,106161,Salaires,l10n_lu.lu_2011_account_10616,other,l10n_lu.account_type_2011_1_capital,f,
l10n_lu.lu_2011_account_106162,106162,Loyer,l10n_lu.lu_2011_account_10616,other,l10n_lu.account_type_2011_1_capital,f,
l10n_lu.lu_2011_account_106163,106163,"Chauffage, gaz, électricité",l10n_lu.lu_2011_account_10616,other,l10n_lu.account_type_2011_1_capital,f,
l10n_lu.lu_2011_account_106164,106164,Eau,l10n_lu.lu_2011_account_10616,other,l10n_lu.account_type_2011_1_capital,f,
l10n_lu.lu_2011_account_106165,106165,Téléphone,l10n_lu.lu_2011_account_10616,other,l10n_lu.account_type_2011_1_capital,f,
l10n_lu.lu_2011_account_106166,106166,Voiture,l10n_lu.lu_2011_account_10616,other,l10n_lu.account_type_2011_1_capital,f,
l10n_lu.lu_2011_account_106168,106168,Autres prélèvements en nature,l10n_lu.lu_2011_account_10616,other,l10n_lu.account_type_2011_1_capital,f,
l10n_lu.lu_2011_account_10617,10617,Acquisitions,l10n_lu.lu_2011_account_1061,view,l10n_lu.account_type_2011_1_capital,f,
l10n_lu.lu_2011_account_106171,106171,Mobilier privé,l10n_lu.lu_2011_account_10617,other,l10n_lu.account_type_2011_1_capital,f,
l10n_lu.lu_2011_account_106172,106172,Voiture privée,l10n_lu.lu_2011_account_10617,other,l10n_lu.account_type_2011_1_capital,f,
l10n_lu.lu_2011_account_106173,106173,Titres privés,l10n_lu.lu_2011_account_10617,other,l10n_lu.account_type_2011_1_capital,f,
l10n_lu.lu_2011_account_106174,106174,Immeubles privés,l10n_lu.lu_2011_account_10617,other,l10n_lu.account_type_2011_1_capital,f,
l10n_lu.lu_2011_account_106178,106178,Autres acquisitions,l10n_lu.lu_2011_account_10617,other,l10n_lu.account_type_2011_1_capital,f,
l10n_lu.lu_2011_account_10618,10618,Impôts,l10n_lu.lu_2011_account_1061,view,l10n_lu.account_type_2011_1_capital,f,
l10n_lu.lu_2011_account_106181,106181,Impôt sur le revenu payé,l10n_lu.lu_2011_account_10618,other,l10n_lu.account_type_2011_1_capital,f,
l10n_lu.lu_2011_account_106182,106182,Impôt sur la fortune payé,l10n_lu.lu_2011_account_10618,other,l10n_lu.account_type_2011_1_capital,f,
l10n_lu.lu_2011_account_106183,106183,Impôt commercial - arriérés payés,l10n_lu.lu_2011_account_10618,other,l10n_lu.account_type_2011_1_capital,f,
l10n_lu.lu_2011_account_106188,106188,Autres impôts,l10n_lu.lu_2011_account_10618,other,l10n_lu.account_type_2011_1_capital,f,
l10n_lu.lu_2011_account_10619,10619,Prélèvements privés particuliers,l10n_lu.lu_2011_account_1061,view,l10n_lu.account_type_2011_1_capital,f,
l10n_lu.lu_2011_account_106191,106191,Réparations aux immeubles privés,l10n_lu.lu_2011_account_10619,other,l10n_lu.account_type_2011_1_capital,f,
l10n_lu.lu_2011_account_106192,106192,Placements sur comptes financiers privés,l10n_lu.lu_2011_account_10619,other,l10n_lu.account_type_2011_1_capital,f,
l10n_lu.lu_2011_account_106193,106193,Remboursements de dettes privées,l10n_lu.lu_2011_account_10619,other,l10n_lu.account_type_2011_1_capital,f,
l10n_lu.lu_2011_account_106194,106194,Dons et dotations aux enfants,l10n_lu.lu_2011_account_10619,other,l10n_lu.account_type_2011_1_capital,f,
l10n_lu.lu_2011_account_106195,106195,Droits de succession et droits de mutation par décès,l10n_lu.lu_2011_account_10619,other,l10n_lu.account_type_2011_1_capital,f,
l10n_lu.lu_2011_account_106198,106198,Autres prélèvements privés particuliers,l10n_lu.lu_2011_account_10619,other,l10n_lu.account_type_2011_1_capital,f,
l10n_lu.lu_2011_account_1062,1062,Suppléments d'apports privés de l'exploitant ou des coexploitants,l10n_lu.lu_2011_account_106,view,l10n_lu.account_type_2011_1_capital,f,
l10n_lu.lu_2011_account_10621,10621,Héritage ou donation,l10n_lu.lu_2011_account_1062,other,l10n_lu.account_type_2011_1_capital,f,
l10n_lu.lu_2011_account_10622,10622,Avoirs privés,l10n_lu.lu_2011_account_1062,other,l10n_lu.account_type_2011_1_capital,f,
l10n_lu.lu_2011_account_10623,10623,Emprunts privés,l10n_lu.lu_2011_account_1062,other,l10n_lu.account_type_2011_1_capital,f,
l10n_lu.lu_2011_account_10624,10624,Cessions,l10n_lu.lu_2011_account_1062,view,l10n_lu.account_type_2011_1_capital,f,
l10n_lu.lu_2011_account_106241,106241,Mobilier privé,l10n_lu.lu_2011_account_10624,other,l10n_lu.account_type_2011_1_capital,f,
l10n_lu.lu_2011_account_106242,106242,Voiture privée,l10n_lu.lu_2011_account_10624,other,l10n_lu.account_type_2011_1_capital,f,
l10n_lu.lu_2011_account_106243,106243,Titres privés,l10n_lu.lu_2011_account_10624,other,l10n_lu.account_type_2011_1_capital,f,
l10n_lu.lu_2011_account_106244,106244,Immeubles privés,l10n_lu.lu_2011_account_10624,other,l10n_lu.account_type_2011_1_capital,f,
l10n_lu.lu_2011_account_106248,106248,Autres cessions,l10n_lu.lu_2011_account_10624,other,l10n_lu.account_type_2011_1_capital,f,
l10n_lu.lu_2011_account_10625,10625,Loyers encaissés,l10n_lu.lu_2011_account_1062,other,l10n_lu.account_type_2011_1_capital,f,
l10n_lu.lu_2011_account_10626,10626,Salaires ou rentes touchés,l10n_lu.lu_2011_account_1062,other,l10n_lu.account_type_2011_1_capital,f,
l10n_lu.lu_2011_account_10627,10627,Allocations familiales reçues,l10n_lu.lu_2011_account_1062,other,l10n_lu.account_type_2011_1_capital,f,
l10n_lu.lu_2011_account_10628,10628,Remboursements d'impôts,l10n_lu.lu_2011_account_1062,view,l10n_lu.account_type_2011_1_capital,f,
l10n_lu.lu_2011_account_106281,106281,Impôt sur le revenu,l10n_lu.lu_2011_account_10628,other,l10n_lu.account_type_2011_1_capital,f,
l10n_lu.lu_2011_account_106283,106283,Impôt sur la fortune,l10n_lu.lu_2011_account_10628,other,l10n_lu.account_type_2011_1_capital,f,
l10n_lu.lu_2011_account_106284,106284,Impôt commercial,l10n_lu.lu_2011_account_10628,other,l10n_lu.account_type_2011_1_capital,f,
l10n_lu.lu_2011_account_106288,106288,Autres remboursements d'impôts,l10n_lu.lu_2011_account_10628,other,l10n_lu.account_type_2011_1_capital,f,
l10n_lu.lu_2011_account_10629,10629,Quote-part professionnelle de frais privés,l10n_lu.lu_2011_account_1062,other,l10n_lu.account_type_2011_1_capital,f,
l10n_lu.lu_2011_account_11,11,Primes d'émission et primes assimilées,l10n_lu.lu_2011_account_1,view,l10n_lu.account_type_2011_1_capital,f,"l10n_lu.account_financial_report_69,l10n_lu.account_financial_report_abr_69"
l10n_lu.lu_2011_account_111,111,Primes d'émission,l10n_lu.lu_2011_account_11,other,l10n_lu.account_type_2011_1_capital,f,
l10n_lu.lu_2011_account_112,112,Primes de fusion,l10n_lu.lu_2011_account_11,other,l10n_lu.account_type_2011_1_capital,f,
l10n_lu.lu_2011_account_113,113,Primes d'apport,l10n_lu.lu_2011_account_11,other,l10n_lu.account_type_2011_1_capital,f,
l10n_lu.lu_2011_account_114,114,Primes de conversion d'obligations en actions,l10n_lu.lu_2011_account_11,other,l10n_lu.account_type_2011_1_capital,f,
l10n_lu.lu_2011_account_115,115,"Apport en capitaux propres non rémunéré par des titres (""Capital contribution"")",l10n_lu.lu_2011_account_11,other,l10n_lu.account_type_2011_1_capital,f,
l10n_lu.lu_2011_account_12,12,Réserves de réévaluation,l10n_lu.lu_2011_account_1,view,l10n_lu.account_type_2011_1_capital,f,"l10n_lu.account_financial_report_70,l10n_lu.account_financial_report_abr_70"
l10n_lu.lu_2011_account_121,121,Réserves de réévaluation en application de la juste valeur,l10n_lu.lu_2011_account_12,other,l10n_lu.account_type_2011_1_capital,f,
l10n_lu.lu_2011_account_122,122,Réserves de mise en équivalence (Participations valorisées suivant l'art. 58),l10n_lu.lu_2011_account_12,other,l10n_lu.account_type_2011_1_capital,f,
l10n_lu.lu_2011_account_123,123,Plus-values sur écarts de conversion immunisées,l10n_lu.lu_2011_account_12,other,l10n_lu.account_type_2011_1_capital,f,
l10n_lu.lu_2011_account_128,128,Autres réserves de réévaluation,l10n_lu.lu_2011_account_12,other,l10n_lu.account_type_2011_1_capital,f,
l10n_lu.lu_2011_account_13,13,Réserves,l10n_lu.lu_2011_account_1,view,l10n_lu.account_type_2011_1_capital,f,
l10n_lu.lu_2011_account_131,131,Réserve légale,l10n_lu.lu_2011_account_13,other,l10n_lu.account_type_2011_1_capital,f,"l10n_lu.account_financial_report_72,l10n_lu.account_financial_report_abr_71"
l10n_lu.lu_2011_account_132,132,Réserve pour actions propres ou parts propres,l10n_lu.lu_2011_account_13,other,l10n_lu.account_type_2011_1_capital,f,"l10n_lu.account_financial_report_73,l10n_lu.account_financial_report_abr_71"
l10n_lu.lu_2011_account_133,133,Réserves statutaires,l10n_lu.lu_2011_account_13,other,l10n_lu.account_type_2011_1_capital,f,"l10n_lu.account_financial_report_74,l10n_lu.account_financial_report_abr_71"
l10n_lu.lu_2011_account_138,138,Autres réserves,l10n_lu.lu_2011_account_13,view,l10n_lu.account_type_2011_1_capital,f,"l10n_lu.account_financial_report_75,l10n_lu.account_financial_report_abr_71"
l10n_lu.lu_2011_account_1381,1381,Réserve pour l'impôt sur la fortune,l10n_lu.lu_2011_account_138,other,l10n_lu.account_type_2011_1_capital,f,
l10n_lu.lu_2011_account_1382,1382,Autres réserves indisponibles,l10n_lu.lu_2011_account_138,other,l10n_lu.account_type_2011_1_capital,f,
l10n_lu.lu_2011_account_1383,1383,Autres réserves disponibles,l10n_lu.lu_2011_account_138,other,l10n_lu.account_type_2011_1_capital,f,
l10n_lu.lu_2011_account_14,14,Résultats,l10n_lu.lu_2011_account_1,view,l10n_lu.account_type_2011_1_capital,f,
